Time(ps) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
1.6033e+04 -4.8732e-27 -9.9124e-10 7.1093e-41 2.5368e-38 -2.6121e-43 2.5878e-43
1.6105e+04 -1.5706e-27 -1.0370e-09 1.5671e-40 5.5855e-38 -8.0832e-43 8.0077e-43
1.6177e+04 -4.4740e-28 -7.3240e-10 3.4321e-40 1.2219e-37 -2.4666e-42 2.4435e-42
1.6249e+04 -9.8508e-29 -1.9082e-10 7.4694e-40 2.6563e-37 -7.4261e-42 7.3561e-42
1.6321e+04 -5.6515e-30 3.9850e-10 1.6154e-39 5.7380e-37 -2.2069e-41 2.1860e-41
1.6394e+04 1.1158e-29 8.3618e-10 3.4717e-39 1.2318e-36 -6.4765e-41 6.4149e-41
1.6466e+04 9.5185e-30 9.7992e-10 7.4152e-39 2.6278e-36 -1.8776e-40 1.8596e-40
1.6538e+04 5.6031e-30 7.9046e-10 1.5741e-38 5.5718e-36 -5.3790e-40 5.3274e-40
1.6610e+04 2.8352e-30 3.4152e-10 3.3214e-38 1.1742e-35 -1.5233e-39 1.5086e-39
1.6683e+04 1.3121e-30 -2.0841e-10 6.9658e-38 2.4596e-35 -4.2652e-39 4.2238e-39
1.6755e+04 5.6996e-31 -6.7179e-10 1.4522e-37 5.1213e-35 -1.1811e-38 1.1696e-38
1.6827e+04 2.3540e-31 -8.9578e-10 3.0095e-37 1.0600e-34 -3.2354e-38 3.2038e-38
1.6899e+04 9.3065e-32 -8.1241e-10 6.2000e-37 2.1810e-34 -8.7691e-38 8.6829e-38
1.6971e+04 3.5332e-32 -4.5875e-10 1.2698e-36 4.4612e-34 -2.3520e-37 2.3288e-37
1.7044e+04 1.2890e-32 3.8656e-11 2.5857e-36 9.0722e-34 -6.2440e-37 6.1820e-37
