Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
3.2340e+02 9.2701e-01 1.1227e+00 2.2666e-07 4.2801e-06 1.0469e-06 3.5725e-07 7.5790e-07
3.2501e+02 9.2240e-01 1.1419e-01 6.0087e-08 1.1634e-06 3.8973e-07 1.0247e-07 2.8301e-07
3.2663e+02 9.1783e-01 1.6336e+00 5.4423e-07 1.0226e-05 2.5187e-06 8.4696e-07 1.8473e-06
3.2825e+02 9.1331e-01 2.8345e+00 7.5170e-07 1.4110e-05 3.3549e-06 1.1648e-06 2.4532e-06
3.2986e+02 9.0884e-01 1.3469e+00 2.7062e-07 5.1029e-06 1.2335e-06 4.2477e-07 8.9407e-07
3.3148e+02 9.0440e-01 9.5605e-02 4.7656e-08 9.2982e-07 3.3108e-07 8.3108e-08 2.3974e-07
3.3310e+02 9.0001e-01 1.7041e+00 5.5249e-07 1.0384e-05 2.5652e-06 8.6030e-07 1.8816e-06
3.3472e+02 8.9566e-01 3.1748e+00 8.2088e-07 1.5408e-05 3.6679e-06 1.2722e-06 2.6825e-06
3.3633e+02 8.9136e-01 1.6132e+00 3.2217e-07 6.0684e-06 1.4542e-06 5.0409e-07 1.0553e-06
3.3795e+02 8.8709e-01 8.2759e-02 3.6379e-08 7.1753e-07 2.7629e-07 6.5450e-08 1.9924e-07
3.3957e+02 8.8287e-01 1.7689e+00 5.5840e-07 1.0497e-05 2.6017e-06 8.7005e-07 1.9087e-06
3.4118e+02 8.7868e-01 3.5492e+00 8.9447e-07 1.6791e-05 4.0029e-06 1.3865e-06 2.9281e-06
3.4280e+02 8.7454e-01 1.9283e+00 3.8218e-07 7.1931e-06 1.7135e-06 5.9661e-07 1.2446e-06
3.4442e+02 8.7043e-01 7.8581e-02 2.6812e-08 5.3702e-07 2.2777e-07 5.0364e-08 1.6326e-07
