Frequency(THz) Wavelength(um) Source Detector[0] Detector[1] Detector[2] Detector[3] Detector[4]
1.9909e-06 1.5058e+08 4.1623e-01 1.1635e-01 3.1676e-03 3.9284e-02 9.3339e-03 7.6649e-02
2.0010e-06 1.4982e+08 1.1986e+00 5.2389e-02 2.6971e-03 3.8785e-02 1.7472e-02 1.3387e-01
2.0111e-06 1.4907e+08 8.2204e-01 1.1064e-02 1.4020e-03 2.5106e-02 1.1848e-02 1.2151e-01
2.0212e-06 1.4832e+08 3.7699e-02 1.1965e-02 1.4066e-04 1.2700e-02 5.7877e-03 1.0143e-01
2.0313e-06 1.4758e+08 4.1605e-01 1.5341e-02 1.6550e-03 1.3744e-02 1.0028e-02 1.2079e-01
2.0414e-06 1.4685e+08 1.2078e+00 1.0348e-02 4.9312e-03 1.7611e-02 1.3711e-02 1.1872e-01
2.0515e-06 1.4613e+08 8.3304e-01 1.5944e-02 6.2198e-03 1.0649e-02 7.0078e-03 5.4575e-02
2.0617e-06 1.4541e+08 3.9359e-02 2.7756e-02 4.6161e-03 2.3624e-03 2.1635e-04 1.8075e-03
2.0718e-06 1.4470e+08 4.1595e-01 2.7301e-02 2.8210e-03 8.9983e-03 3.8006e-03 3.0776e-02
2.0819e-06 1.4400e+08 1.2172e+00 1.9992e-02 2.6568e-03 2.2660e-02 8.5873e-03 9.3071e-02
2.0920e-06 1.4331e+08 8.4433e-01 1.9854e-02 2.9898e-03 2.2784e-02 4.1912e-03 1.0596e-01
2.1021e-06 1.4262e+08 4.1074e-02 2.1949e-02 2.3173e-03 1.0003e-02 3.0197e-04 7.8614e-02
2.1122e-06 1.4193e+08 4.1591e-01 2.1037e-02 9.4459e-04 1.6691e-03 9.1861e-03 7.2346e-02
2.1223e-06 1.4126e+08 1.2270e+00 2.7172e-02 8.7765e-05 1.0199e-03 2.1342e-02 9.1521e-02
2.1324e-06 1.4059e+08 8.5592e-01 3.9859e-02 4.2500e-04 3.3291e-05 2.1117e-02 9.6115e-02
2.1425e-06 1.3993e+08 4.2847e-02 4.1699e-02 1.7185e-03 6.2300e-03 1.5140e-02 8.5927e-02
2.1526e-06 1.3927e+08 4.1595e-01 3.2759e-02 2.7673e-03 3.2142e-02 2.0519e-02 9.3907e-02
